inn,name,got_support_from,did_get_support,service,foundation_date,tech_focus,stage_of_development,market,technology,business_model,main_okved,okved_secondary,msp_category,is_export,inno_cluster_member,skolcovo_member,is_inno_company,is_startup,current_profit,current_profit_tax,current_revenue
7721350396,"ооо ""капсула""","например, площадки пилотного тестирования",да,пилотное тестирование,2015-09-08,healthtech,ранний рост,healthcare,искусственный интеллект и машинное обучение,b2c,62.01,62.02_62.09_63.11,юл микро,да,нет,нет,да,да,-3599.0,83.0,0.0
7703431250,"ооо ""фудтроникс""","например, площадки пилотного тестирования",нет,пилотное тестирование,2017-07-27,retailtech и e-commerce,ранний рост,foodtech,робототехника,b2b,62.01,47.99.2_62.01_62.02.1,,нет,да,нет,да,да,-50278.0,0.0,0.0
7709495155,"ооо ""мастерс""","например, площадки пилотного тестирования",нет,пилотное тестирование,2016-06-17,недвижимость и строительство,ранний рост,proptech,,b2b,62.01,41.20_42.21_43.12.3,юл микро,нет,нет,нет,да,да,0.0,0.0,0.0
7714420229,"ооо ""платформа третье мнение""","например, площадки пилотного тестирования",нет,пилотное тестирование,2017-12-14,healthtech,ранний рост,healthcare,искусственный интеллект и машинное обучение,b2b_b2g,62.01,62.02_62.02.1_63.11.1,юл микро,нет,нет,да,да,да,-54385.0,1.0,0.0
9705116956,"ооо ""скм трекинг""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-04-05,"ит, разработка по",посевная,entertainment,ar/vr,b2b,72.19.9,61.20.2_62.01_62.09,юл микро,нет,да,да,да,да,-299.0,0.0,0.0
9731055900,ооо «система геткурс»,"например, площадки пилотного тестирования",нет,пилотное тестирование,2019-11-15,edtech,расширение,edtech,,b2b,62.01,47.91_47.99_58.11,юл микро,нет,нет,да,да,да,393365.0,0.0,0.0
7728442470,"ооо ""цифровые платежи""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-08-22,fintech,ранний рост,fintech,блокчейн,b2b_b2c,62.09,62.01_62.02_62.09,юл микро,нет,да,нет,да,да,6720.0,447.0,0.0
7709923315,"ооо ""лекс борелис кс""","например, площадки пилотного тестирования",да,пилотное тестирование,2013-02-22,консалтинг,ранний рост,business software_legaltech,,b2b_b2c_b2g,69,62.01_64.91_64.99.1,юл микро,нет,да,нет,да,да,0.0,0.0,0.0
9701078611,"ооо ""скилбокс""","например, площадки пилотного тестирования",нет,пилотное тестирование,2017-06-07,edtech,ранний рост,edtech,,b2b_b2c,62.09,62.01_62.02_62.09,,нет,нет,да,да,да,-154806.0,1305.0,2300647.0
7724883963,"ооо ""юним""","например, площадки пилотного тестирования",нет,пилотное тестирование,2013-07-31,healthtech,ранний рост,healthcare,,b2b,62.09,46.46.1_46.46.2_46.90,юл малое,да,да,да,да,да,37737.0,0.0,101334.0
7709947115,ооо «эквио»,"например, площадки пилотного тестирования",нет,пилотное тестирование,2014-02-17,hrtech,ранний рост,edtech_hrtech,,b2b,62.09,46.43.2_46.43.3_46.49,юл малое,нет,нет,нет,да,да,53.0,-14.0,283.0
9701050670,ооо ай-ритейл рус,"например, площадки пилотного тестирования",нет,пилотное тестирование,2016-09-28,retailtech и e-commerce,ранний рост,retailtech,,b2b,46.51,31.01_33.12_46.34,юл микро,нет,да,нет,да,да,0.0,0.0,0.0
7704386240,"ооо ""алгоритмика""","например, площадки пилотного тестирования",да,пилотное тестирование,2016-12-29,edtech,ранний рост,edtech,,b2c,72.19,62.01_62.02_62.09,юл малое,да,нет,нет,да,да,-80117.0,0.0,218088.0
7715719244,"ооо ""код безопасности""","например, площадки пилотного тестирования",нет,пилотное тестирование,2008-10-09,"ит, разработка по",расширение,cybersecurity,,b2b,26.20,26.20_62.01_62.02,,да,нет,нет,да,нет,1493953.0,-378271.0,2617559.0
5047216501,"ооо ""хинтед""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-10-19,,ранний рост,business software_edtech,,b2b,62.01,62.02_62.02.1_62.02.2,юл микро,нет,нет,нет,да,да,-4324.0,40.0,0.0
7703746155,"ооо ""онви сервис""","например, площадки пилотного тестирования",нет,пилотное тестирование,2011-06-16,безопасность,расширение,proptech_safetytech,компьютерное зрение,b2b,62.01,46.14.1_46.15.4_46.43,юл микро,нет,нет,нет,да,нет,0.0,0.0,0.0
7704434913,ооо прогкидс,"например, площадки пилотного тестирования",да,пилотное тестирование,2017-07-12,edtech,ранний рост,edtech,,b2c,62.01,46.90_62.02,юл микро,нет,нет,нет,да,да,1374.0,594.0,0.0
7731326297,ооо альт,"например, площадки пилотного тестирования",нет,пилотное тестирование,2016-08-24,"ит, разработка по",ранний рост,entertainment,ar/vr,b2b_b2c,72.19.2,26.40.3_62.01_62.02.1,юл малое,нет,да,да,да,да,0.0,0.0,0.0
7706456380,ооо цбп,"например, площадки пилотного тестирования",нет,пилотное тестирование,2018-08-23,fintech,ранний рост,fintech,,b2b,72.19,58.29_62.01_63.11.1,юл микро,да,да,да,да,да,110696.0,0.0,164455.0
9709035257,"ооо ""сейлз чейн""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-08-10,,ранний рост,fintech,,b2b,62.09,62.01_62.02_62.02.1,юл микро,нет,нет,нет,да,да,-188.0,-327.0,30526.0
5402017437,"ооо «научно-производственный инновационный внедренческий центр» 

(ооо нп ивц)","например, площадки пилотного тестирования",нет,пилотное тестирование,2016-04-01,healthtech,ранний рост,healthcare,биометрия,b2b2c,72.19,26.60.4_26.60.5_26.60.9,юл малое,да,нет,да,да,да,-46136.0,0.0,3.0
9701140612,"ооо ""нейри""","например, площадки пилотного тестирования",нет,пилотное тестирование,2019-07-19,,ранний рост,business software_edtech_entertainment,искусственный интеллект и машинное обучение_нейротехнологии,b2b,62.01,26.52_46.51_47.41,юл микро,нет,да,да,да,да,-1521.0,0.0,0.0
4027136373,"ооо ""медицинские скрининг системы ""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-04-02,,,,,,62.01,61.10.3_61.10.4_62.02,юл микро,нет,нет,нет,нет,нет,627.0,157.0,0.0
7723740056,"ооо ""некс-т""","например, площадки пилотного тестирования",нет,пилотное тестирование,2009-12-04,"edtech_ит, разработка по_маркетинг и реклама",ранний рост,edtech_мedia & communication,искусственный интеллект и машинное обучение,b2b2c_b2c,26.20,18.11_18.12_18.13,юл малое,да,да,нет,да,нет,48767.0,-1101.0,111034.0
7702421612,ооо «суприммоторс»,"например, площадки пилотного тестирования",да,пилотное тестирование,2017-08-10,,ранний рост,healthcare,,b2c,72.19,30.91_30.92_32.40,юл микро,нет,да,да,да,да,0.0,0.0,0.0
7718952312,"ооо ""тайтэн пауэр солюшн""","например, площадки пилотного тестирования",нет,пилотное тестирование,2013-10-18,транспорт и логистика,расширение,cleantech_industrialtech,новые и портативные источники энергии,b2b,72.19,26.11.2_26.11.9_26.12,юл малое,нет,да,нет,да,да,20159.0,-2092.0,58094.0
6671336747,"ооо ""диваора групп""","например, площадки пилотного тестирования",да,пилотное тестирование,2010-10-22,,,,,,27.5,10.71_10.72_13.92,юл микро,нет,нет,нет,нет,нет,0.0,0.0,0.0
7719402047,ооо «моторика»,"например, площадки пилотного тестирования",нет,пилотное тестирование,2015-02-05,healthtech,ранний рост,healthcare,ar/vr_аддитивные технологии_робототехника,b2b2c_b2c,72.19,72.19,юл малое,да,да,да,да,да,-41282.0,0.0,48876.0
9715317764,"ооо ""убиратор""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-06-09,экология,ранний рост,cleantech,,b2b_b2g,38.11,38.11_38.12_38.21,юл микро,нет,да,нет,да,да,0.0,0.0,0.0
7811628102,"ооо ""фрэндворк""","например, площадки пилотного тестирования",да,пилотное тестирование,2016-11-14,,,,,,62.01,62.01_62.02_62.03,юл микро,нет,нет,нет,нет,нет,-26176.0,0.0,0.0
5024179758,ооо метаскан,"например, площадки пилотного тестирования",нет,пилотное тестирование,2017-10-11,,посевная,cybersecurity,,b2b,62.01,47.41_62.01_62.02,юл микро,нет,нет,нет,да,да,421.0,0.0,1959.0
9731061661,"ооо ""юр-ли""","например, площадки пилотного тестирования",нет,пилотное тестирование,2020-03-03,консалтинг,посевная,legaltech,искусственный интеллект и машинное обучение,b2b,69.10,63.11_63.11.1_63.11.9,юл микро,нет,да,нет,да,да,-3379.0,0.0,0.0
9701125082,"ооо ""карта врача""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-12-17,edtech_healthtech,ранний рост,edtech_healthcare,,b2b2c,73.11,63.11_73.11_73.20,юл микро,нет,да,нет,да,да,417.0,-92.0,2360.0
9701161411,"ооо ""эмииа""","например, площадки пилотного тестирования",нет,пилотное тестирование,2020-08-26,,посевная,safetytech,искусственный интеллект и машинное обучение_компьютерное зрение,b2b,62.01,26.11_26.20_26.30,юл микро,нет,да,нет,да,да,-4.0,0.0,0.0
