startup_inn,round,accelerator,business_angel,corp_fund,corp_investor,gov_fund,private_fund
1615013084,seed,1.0,0.0,0.0,0.0,0.0,0.0
1650350558,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
1650390180,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
1655449455,seed,0.0,0.0,0.0,0.0,0.0,1.0
1657238107,seed,0.0,1.0,0.0,0.0,0.0,0.0
222204560355,seed,0.0,1.0,0.0,0.0,0.0,0.0
2311222232,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
2311301050,а,0.0,0.5,0.0,0.0,0.0,0.5
290221367666,seed,0.0,0.0,0.0,1.0,0.0,0.0
3123011520,m&a (не венчур),0.0,0.0,0.0,1.0,0.0,0.0
3123371473,seed,0.0,1.0,0.0,0.0,0.0,0.0
3525270838,seed,0.0,0.5,0.0,0.5,0.0,0.0
3665802497,exit,0.0,0.0,0.0,1.0,0.0,0.0
4027136373,а,0.0,0.0,0.0,0.0,1.0,0.0
4205331875,а,0.0,0.0,0.0,1.0,0.0,0.0
5003096726,а,0.0,0.0,0.0,1.0,0.0,0.0
5009112893,seed,0.0,1.0,0.0,0.0,0.0,0.0
5024167801,seed,0.0,0.0,0.0,0.0,0.0,1.0
5024179758,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
5029236720,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
5047216501,seed,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
5402017437,а,0.0,0.0,0.0,0.0,0.0,1.0
5402017437,в,0.0,0.0,0.0,0.0,1.0,0.0
5405276278,exit,0.0,0.0,0.0,1.0,0.0,0.0
5902016512,pre-seed,1.0,0.0,0.0,0.0,0.0,0.0
5903113639,exit,0.0,0.0,0.0,1.0,0.0,0.0
5903113639,а,0.0,0.0,0.0,0.0,1.0,0.0
5904323910,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
6163216409,seed,0.0,0.5,0.5,0.0,0.0,0.0
6633027184,seed,0.0,0.0,0.0,1.0,0.0,0.0
6633027184,а,0.0,0.0,0.0,0.0,0.0,1.0
6658507305,pre-seed,0.0,0.0,0.0,0.0,0.0,1.0
6670442252,а,0.0,0.0,0.0,1.0,0.0,0.0
6685023448,а,0.0,0.0,0.0,0.0,1.0,0.0
6685023448,с,0.0,1.0,0.0,0.0,0.0,0.0
