inn,name,got_support_from,did_get_support,service,foundation_date,tech_focus,stage_of_development,market,technology,business_model,main_okved,okved_secondary,msp_category,is_export,inno_cluster_member,skolcovo_member,is_inno_company,is_startup,current_profit,current_profit_tax,current_revenue
7721350396,"ооо ""капсула""","например, площадки пилотного тестирования",да,пилотное тестирование,2015-09-08,['healthtech'],ранний рост,['healthcare'],['искусственный интеллект и машинное обучение'],['b2c'],62.01,"['62.02', '82.99', '63.11', '63.11.1', '62.09', '72.19']",юл микро,да,нет,нет,да,да,-3599.0,83.0,0.0
7703431250,"ооо ""фудтроникс""","например, площадки пилотного тестирования",нет,пилотное тестирование,2017-07-27,['retailtech и e-commerce'],ранний рост,['foodtech'],['робототехника'],['b2b'],62.01,"['47.99.2', '62.02.1', '62.01']",,нет,да,нет,да,да,-50278.0,0.0,0.0
7709495155,"ооо ""мастерс""","например, площадки пилотного тестирования",нет,пилотное тестирование,2016-06-17,['недвижимость и строительство'],ранний рост,['proptech'],[],['b2b'],62.01,"['64.99.3', '62.09', '46.13', '62.02', '64.99.2', '63.91', '46.13.2', '64.99.1', '46.15.1', '46.15.3', '64.20', '64.99', '73.11', '63.11.1', '46.90', '46.15.4', '46.12.22', '46.13.1', '43.21', '43.12.3', '46.73', '43.99.1', '71.12', '43.91', '43.29', '42.21', '71.12.2', '43.22', '43.32.3', '47.52.7', '81.10', '81.29', '70.22', '80.20', '73.12', '73.20', '41.20', '62.03', '63.11', '81.21', '70.21', '81.30']",юл микро,нет,нет,нет,да,да,0.0,0.0,0.0
7714420229,"ооо ""платформа третье мнение""","например, площадки пилотного тестирования",нет,пилотное тестирование,2017-12-14,['healthtech'],ранний рост,['healthcare'],['искусственный интеллект и машинное обучение'],"['b2b', 'b2g']",62.01,"['63.11.1', '62.02.1', '63.11.9', '72.19', '72.11', '73.20', '62.02']",юл микро,нет,нет,да,да,да,-54385.0,1.0,0.0
9705116956,"ооо ""скм трекинг""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-04-05,"['ит, разработка по']",посевная,['entertainment'],['ar/vr'],['b2b'],72.19.9,"['62.09', '62.01', '61.20.2', '72.19.9']",юл микро,нет,да,да,да,да,-299.0,0.0,0.0
9731055900,ооо «система геткурс»,"например, площадки пилотного тестирования",нет,пилотное тестирование,2019-11-15,['edtech'],расширение,['edtech'],[],['b2b'],62.01,"['47.91', '47.99', '58.11', '58.19', '58.29', '59.20', '62.02', '62.09', '63.11', '63.12', '69.10', '69.20', '70.22', '74.10', '74.90.6', '82.30', '82.99', '85.41']",юл микро,нет,нет,да,да,да,393365.0,0.0,0.0
7728442470,"ооо ""цифровые платежи""","например, площадки пилотного тестирования",нет,пилотное тестирование,2018-08-22,['fintech'],ранний рост,['fintech'],['блокчейн'],"['b2b', 'b2c']",62.09,"['63.99.1', '66.11.5', '63.11.1', '62.01', '62.02', '63.11', '64.19', '62.09']",юл микро,нет,да,нет,да,да,6720.0,447.0,0.0
7709923315,"ооо ""лекс борелис кс""","например, площадки пилотного тестирования",да,пилотное тестирование,2013-02-22,['консалтинг'],ранний рост,"['business software', 'legaltech']",[],"['b2b', 'b2c', 'b2g']",69,"['64.99.3', '70.10.2', '68.31.2', '70.10.1', '73.1', '73.20.1', '62.01', '68.31.3', '64.99.1', '64.91', '68.31.1', '68.1', '68.31.4', '82.99', '66.12.2', '69']",юл микро,нет,да,нет,да,да,0.0,0.0,0.0
9701078611,"ооо ""скилбокс""","например, площадки пилотного тестирования",нет,пилотное тестирование,2017-06-07,['edtech'],ранний рост,['edtech'],[],"['b2b', 'b2c']",62.09,"['62.01', '62.02', '62.09', '63.11.1', '63.91', '63.99.1']",,нет,нет,да,да,да,-154806.0,1305.0,2300647.0
7724883963,"ооо ""юним""","например, площадки пилотного тестирования",нет,пилотное тестирование,2013-07-31,['healthtech'],ранний рост,['healthcare'],[],['b2b'],62.09,"['73.11', '62.01', '82.99', '47.75', '47.9', '46.46.1', '72.19', '79.11', '46.46.2', '85.42.9', '47.74', '86.10', '77.39.26', '77.29.9', '63.11.1', '47.73', '62.02', '96.09', '46.90', '86.90.9', '62.09']",юл малое,да,да,да,да,да,37737.0,0.0,101334.0
